timestamp,topic,lag
2026-06-03 05:47:34.626188,queries,81
2026-06-03 05:47:34.626188,queries.retry,15
2026-06-03 05:47:34.626188,queries.dlq,93
2026-06-03 05:47:36.630099,queries,121
2026-06-03 05:47:36.630099,queries.retry,24
2026-06-03 05:47:36.630099,queries.dlq,93
2026-06-03 05:47:38.633469,queries,76
2026-06-03 05:47:38.633469,queries.retry,15
2026-06-03 05:47:38.633469,queries.dlq,96
2026-06-03 05:47:40.637370,queries,115
2026-06-03 05:47:40.637370,queries.retry,20
2026-06-03 05:47:40.637370,queries.dlq,98
2026-06-03 05:47:42.641079,queries,113
2026-06-03 05:47:42.641079,queries.retry,21
2026-06-03 05:47:42.641079,queries.dlq,98
2026-06-03 05:47:44.644692,queries,93
2026-06-03 05:47:44.644692,queries.retry,19
2026-06-03 05:47:44.644692,queries.dlq,98
2026-06-03 05:47:46.649492,queries,133
2026-06-03 05:47:46.649492,queries.retry,27
2026-06-03 05:47:46.649492,queries.dlq,100
2026-06-03 05:47:48.653235,queries,91
2026-06-03 05:47:48.653235,queries.retry,18
2026-06-03 05:47:48.653235,queries.dlq,103
2026-06-03 05:47:50.656354,queries,101
2026-06-03 05:47:50.656354,queries.retry,16
2026-06-03 05:47:50.656354,queries.dlq,104
2026-06-03 05:47:52.660563,queries,60
2026-06-03 05:47:52.660563,queries.retry,6
2026-06-03 05:47:52.660563,queries.dlq,106
2026-06-03 05:47:54.664116,queries,47
2026-06-03 05:47:54.664116,queries.retry,10
2026-06-03 05:47:54.664116,queries.dlq,108
2026-06-03 05:47:56.668630,queries,87
2026-06-03 05:47:56.668630,queries.retry,19
2026-06-03 05:47:56.668630,queries.dlq,108
2026-06-03 05:47:58.672984,queries,61
2026-06-03 05:47:58.672984,queries.retry,14
2026-06-03 05:47:58.672984,queries.dlq,109
2026-06-03 05:48:00.676773,queries,68
2026-06-03 05:48:00.676773,queries.retry,10
2026-06-03 05:48:00.676773,queries.dlq,112
2026-06-03 05:48:02.680219,queries,108
2026-06-03 05:48:02.680219,queries.retry,17
2026-06-03 05:48:02.680219,queries.dlq,115
2026-06-03 05:48:04.685361,queries,76
2026-06-03 05:48:04.685361,queries.retry,9
2026-06-03 05:48:04.685361,queries.dlq,115
2026-06-03 05:48:06.690511,queries,80
2026-06-03 05:48:06.690511,queries.retry,11
2026-06-03 05:48:06.690511,queries.dlq,119
2026-06-03 05:48:08.695321,queries,91
2026-06-03 05:48:08.695321,queries.retry,16
2026-06-03 05:48:08.695321,queries.dlq,119
2026-06-03 05:48:10.698872,queries,44
2026-06-03 05:48:10.698872,queries.retry,6
2026-06-03 05:48:10.698872,queries.dlq,121
2026-06-03 05:48:12.703242,queries,84
2026-06-03 05:48:12.703242,queries.retry,12
2026-06-03 05:48:12.703242,queries.dlq,122
2026-06-03 05:48:14.707722,queries,49
2026-06-03 05:48:14.707722,queries.retry,3
2026-06-03 05:48:14.707722,queries.dlq,123
2026-06-03 05:48:16.713511,queries,48
